joint_angle_rad,motor_angle_rad,transmission_ratio,torque_limit_nm
0.762212,0.790771,0.896639,197.2606
0.763784,0.792180,0.896215,197.1674
0.765355,0.793588,0.895792,197.0742
0.766927,0.794995,0.895368,196.9810
0.768498,0.796402,0.894945,196.8879
0.770070,0.797808,0.894522,196.7948
0.771642,0.799214,0.894099,196.7017
0.773213,0.800619,0.893676,196.6087
0.774785,0.802023,0.893253,196.5158
0.776356,0.803426,0.892831,196.4228
0.777928,0.804829,0.892409,196.3299
0.779499,0.806231,0.891987,196.2371
0.781071,0.807633,0.891565,196.1442
0.782643,0.809033,0.891143,196.0514
0.784214,0.810434,0.890721,195.9586
0.785786,0.811833,0.890300,195.8659
0.787357,0.813232,0.889878,195.7732
0.788929,0.814630,0.889457,195.6805
0.790501,0.816028,0.889036,195.5879
0.792072,0.817425,0.888615,195.4953
0.793644,0.818821,0.888194,195.4027
0.795215,0.820216,0.887773,195.3101
0.796787,0.821611,0.887353,195.2176
0.798358,0.823005,0.886932,195.1251
0.799930,0.824399,0.886512,195.0326
0.801502,0.825792,0.886092,194.9402
0.803073,0.827184,0.885672,194.8478
0.804645,0.828576,0.885252,194.7554
0.806216,0.829966,0.884832,194.6630
0.807788,0.831357,0.884412,194.5706
0.809359,0.832746,0.883992,194.4783
0.810931,0.834135,0.883573,194.3860
0.812503,0.835523,0.883153,194.2937
0.814074,0.836911,0.882734,194.2015
0.815646,0.838298,0.882315,194.1092
0.817217,0.839684,0.881895,194.0170
0.818789,0.841070,0.881476,193.9248
0.820360,0.842455,0.881057,193.8326
0.821932,0.843839,0.880638,193.7404
0.823504,0.845223,0.880220,193.6483
0.825075,0.846606,0.879801,193.5562
0.826647,0.847988,0.879382,193.4640
0.828218,0.849370,0.878963,193.3719
0.829790,0.850751,0.878545,193.2799
0.831361,0.852131,0.878126,193.1878
0.832933,0.853511,0.877708,193.0957
0.834505,0.854890,0.877290,193.0037
0.836076,0.856268,0.876871,192.9117
0.837648,0.857646,0.876453,192.8197
0.839219,0.859023,0.876035,192.7277
0.840791,0.860400,0.875617,192.6357
0.842362,0.861776,0.875199,192.5437
0.843934,0.863151,0.874780,192.4517
0.845506,0.864525,0.874362,192.3597
0.847077,0.865899,0.873944,192.2678
0.848649,0.867272,0.873527,192.1758
0.850220,0.868644,0.873109,192.0839
0.851792,0.870016,0.872691,191.9920
0.853363,0.871387,0.872273,191.9001
0.854935,0.872758,0.871855,191.8081
0.856507,0.874128,0.871437,191.7162
0.858078,0.875497,0.871020,191.6243
0.859650,0.876866,0.870602,191.5324
0.861221,0.878233,0.870184,191.4405
0.862793,0.879601,0.869767,191.3486
0.864364,0.880967,0.869349,191.2568
0.865936,0.882333,0.868931,191.1649
0.867508,0.883698,0.868514,191.0730
0.869079,0.885063,0.868096,190.9811
0.870651,0.886427,0.867678,190.8892
0.872222,0.887790,0.867261,190.7973
0.873794,0.889153,0.866843,190.7055
0.875365,0.890515,0.866425,190.6136
0.876937,0.891876,0.866008,190.5217
0.878509,0.893237,0.865590,190.4298
0.880080,0.894597,0.865172,190.3379
0.881652,0.895956,0.864755,190.2460
0.883223,0.897315,0.864337,190.1542
0.884795,0.898673,0.863919,190.0623
0.886366,0.900030,0.863502,189.9704
0.887938,0.901387,0.863084,189.8785
0.889510,0.902743,0.862666,189.7865
0.891081,0.904099,0.862248,189.6946
0.892653,0.905453,0.861831,189.6027
0.894224,0.906807,0.861413,189.5108
0.895796,0.908161,0.860995,189.4189
0.897367,0.909514,0.860577,189.3269
0.898939,0.910866,0.860159,189.2350
0.900511,0.912217,0.859741,189.1430
0.902082,0.913568,0.859323,189.0510
0.903654,0.914918,0.858905,188.9591
0.905225,0.916268,0.858487,188.8671
0.906797,0.917617,0.858069,188.7751
0.908368,0.918965,0.857650,188.6831
0.909940,0.920312,0.857232,188.5911
0.911512,0.921659,0.856814,188.4990
0.913083,0.923005,0.856395,188.4070
0.914655,0.924351,0.855977,188.3149
0.916226,0.925696,0.855558,188.2228
0.917798,0.927040,0.855140,188.1308
0.919369,0.928384,0.854721,188.0387
0.920941,0.929727,0.854303,187.9466
0.922513,0.931069,0.853884,187.8544
0.924084,0.932410,0.853465,187.7623
0.925656,0.933751,0.853046,187.6701
0.927227,0.935092,0.852627,187.5779
0.928799,0.936431,0.852208,187.4857
0.930370,0.937770,0.851789,187.3935
0.931942,0.939109,0.851370,187.3013
0.933514,0.940446,0.850950,187.2091
0.935085,0.941783,0.850531,187.1168
0.936657,0.943120,0.850111,187.0245
0.938228,0.944455,0.849692,186.9322
0.939800,0.945790,0.849272,186.8399
0.941371,0.947125,0.848852,186.7475
0.942943,0.948458,0.848432,186.6551
0.944515,0.949791,0.848012,186.5627
0.946086,0.951124,0.847592,186.4703
0.947658,0.952456,0.847172,186.3779
0.949229,0.953787,0.846752,186.2854
0.950801,0.955117,0.846332,186.1929
0.952372,0.956447,0.845911,186.1004
0.953944,0.957776,0.845490,186.0079
0.955516,0.959104,0.845070,185.9153
0.957087,0.960432,0.844649,185.8228
0.958659,0.961759,0.844228,185.7302
0.960230,0.963086,0.843807,185.6375
0.961802,0.964411,0.843386,185.5449
0.963373,0.965736,0.842964,185.4522
0.964945,0.967061,0.842543,185.3595
0.966517,0.968385,0.842121,185.2667
0.968088,0.969708,0.841700,185.1739
0.969660,0.971030,0.841278,185.0811
0.971231,0.972352,0.840856,184.9883
0.972803,0.973673,0.840434,184.8954
0.974374,0.974994,0.840012,184.8025
0.975946,0.976313,0.839589,184.7096
0.977518,0.977633,0.839167,184.6167
0.979089,0.978951,0.838744,184.5237
0.980661,0.980269,0.838321,184.4307
0.982232,0.981586,0.837898,184.3376
0.983804,0.982903,0.837475,184.2445
0.985375,0.984218,0.837052,184.1514
0.986947,0.985533,0.836629,184.0583
0.988519,0.986848,0.836205,183.9651
0.990090,0.988162,0.835781,183.8719
0.991662,0.989475,0.835357,183.7786
0.993233,0.990787,0.834933,183.6853
0.994805,0.992099,0.834509,183.5920
0.996376,0.993410,0.834085,183.4987
0.997948,0.994721,0.833660,183.4053
0.999520,0.996031,0.833236,183.3118
1.001091,0.997340,0.832811,183.2184
1.002663,0.998648,0.832386,183.1249
1.004234,0.999956,0.831961,183.0313
1.005806,1.001263,0.831535,182.9377
1.007377,1.002570,0.831110,182.8441
1.008949,1.003876,0.830684,182.7504
1.010521,1.005181,0.830258,182.6567
1.012092,1.006485,0.829832,182.5630
1.013664,1.007789,0.829406,182.4692
1.015235,1.009092,0.828979,182.3754
1.016807,1.010395,0.828552,182.2815
1.018378,1.011696,0.828126,182.1876
1.019950,1.012998,0.827699,182.0937
1.021522,1.014298,0.827271,181.9997
1.023093,1.015598,0.826844,181.9057
1.024665,1.016897,0.826416,181.8116
1.026236,1.018195,0.825988,181.7175
1.027808,1.019493,0.825560,181.6233
1.029379,1.020790,0.825132,181.5291
1.030951,1.022087,0.824704,181.4348
1.032523,1.023382,0.824275,181.3405
1.034094,1.024677,0.823846,181.2462
1.035666,1.025972,0.823417,181.1518
1.037237,1.027266,0.822988,181.0574
1.038809,1.028559,0.822558,180.9629
1.040380,1.029851,0.822129,180.8683
1.041952,1.031143,0.821699,180.7738
1.043524,1.032434,0.821269,180.6791
1.045095,1.033724,0.820838,180.5845
1.046667,1.035014,0.820408,180.4897
1.048238,1.036303,0.819977,180.3950
1.049810,1.037591,0.819546,180.3001
1.051381,1.038879,0.819115,180.2053
1.052953,1.040166,0.818683,180.1103
1.054525,1.041452,0.818252,180.0154
1.056096,1.042738,0.817820,179.9203
1.057668,1.044022,0.817388,179.8253
1.059239,1.045307,0.816955,179.7301
1.060811,1.046590,0.816523,179.6350
1.062382,1.047873,0.816090,179.5397
1.063954,1.049155,0.815657,179.4445
1.065526,1.050437,0.815223,179.3491
1.067097,1.051718,0.814790,179.2537
1.068669,1.052998,0.814356,179.1583
1.070240,1.054277,0.813922,179.0628
1.071812,1.055556,0.813487,178.9672
1.073383,1.056834,0.813053,178.8716
1.074955,1.058112,0.812618,178.7760
1.076527,1.059388,0.812183,178.6802
1.078098,1.060664,0.811748,178.5845
1.079670,1.061940,0.811312,178.4886
1.081241,1.063215,0.810876,178.3928
1.082813,1.064489,0.810440,178.2968
1.084384,1.065762,0.810004,178.2008
1.085956,1.067035,0.809567,178.1047
1.087528,1.068306,0.809130,178.0086
1.089099,1.069578,0.808693,177.9125
1.090671,1.070848,0.808256,177.8162
1.092242,1.072118,0.807818,177.7199
1.093814,1.073387,0.807380,177.6236
1.095385,1.074656,0.806942,177.5272
1.096957,1.075924,0.806503,177.4307
1.098529,1.077191,0.806064,177.3341
1.100100,1.078457,0.805625,177.2376
1.101672,1.079723,0.805186,177.1409
1.103243,1.080988,0.804746,177.0442
1.104815,1.082252,0.804306,176.9474
1.106386,1.083516,0.803866,176.8506
1.107958,1.084779,0.803426,176.7537
1.109530,1.086041,0.802985,176.6567
1.111101,1.087303,0.802544,176.5597
1.112673,1.088564,0.802103,176.4626
1.114244,1.089824,0.801661,176.3654
1.115816,1.091084,0.801219,176.2682
1.117387,1.092343,0.800777,176.1709
1.118959,1.093601,0.800334,176.0735
1.120531,1.094858,0.799891,175.9761
1.122102,1.096115,0.799448,175.8786
1.123674,1.097371,0.799005,175.7811
1.125245,1.098626,0.798561,175.6835
1.126817,1.099881,0.798117,175.5858
1.128388,1.101135,0.797673,175.4881
1.129960,1.102388,0.797228,175.3902
1.131532,1.103641,0.796783,175.2924
1.133103,1.104892,0.796338,175.1944
1.134675,1.106144,0.795893,175.0964
1.136246,1.107394,0.795447,174.9983
1.137818,1.108644,0.795001,174.9001
1.139389,1.109893,0.794554,174.8019
1.140961,1.111141,0.794107,174.7036
1.142533,1.112389,0.793660,174.6053
1.144104,1.113636,0.793213,174.5068
1.145676,1.114882,0.792765,174.4083
1.147247,1.116128,0.792317,174.3097
